Tiempo(s),Operaciones_completadas
0.100483,1
0.100968,2
0.101412,3
0.101961,4
0.200821,5
0.201373,6
0.201781,7
0.202268,8
0.301279,9
0.301775,10
0.302273,11
0.302806,12
0.401700,13
0.402537,14
0.402541,15
0.403392,16
0.502088,17
0.502634,18
0.502636,19
0.503719,20
0.602993,21
0.602996,22
0.602997,23
0.603903,24
0.703766,25
0.703779,26
0.703782,27
0.704477,28
0.804193,29
0.804196,30
0.804198,31
0.805104,32
0.904415,33
0.904419,34
0.904827,35
0.905535,36
1.004976,37
1.004982,38
1.005609,39
1.006246,40
1.105548,41
1.105556,42
1.105792,43
1.106433,44
1.205906,45
1.205910,46
1.206289,47
1.206813,48
1.306319,49
1.306322,50
1.306708,51
1.307292,52
1.406557,53
1.406561,54
1.406915,55
1.407438,56
1.506840,57
1.506843,58
1.507130,59
1.507832,60
1.607069,61
1.607075,62
1.607492,63
1.608072,64
1.707420,65
1.707428,66
1.707916,67
1.708313,68
1.807865,69
1.808244,70
1.808256,71
1.808882,72
1.908782,73
1.908794,74
1.908977,75
1.909238,76
2.010389,77
2.010851,78
2.010863,79
2.011155,80
2.110852,81
2.110857,82
2.111349,83
2.111358,84
2.211454,85
2.211462,86
2.211735,87
2.211876,88
2.311876,89
2.311884,90
2.312330,91
2.312335,92
2.413237,93
2.413254,94
2.413258,95
2.413261,96
2.512960,97
2.513430,98
2.513432,99
2.513433,100
2.613602,101
2.614142,102
2.614150,103
2.614154,104
2.714711,105
2.714726,106
2.715261,107
2.715273,108
2.814762,109
2.815110,110
2.815807,111
2.815813,112
2.915134,113
2.915666,114
2.916300,115
2.916308,116
3.015902,117
3.016189,118
3.017061,119
3.017075,120
3.116982,121
3.116993,122
3.117710,123
3.117720,124
3.217433,125
3.217647,126
3.217879,127
3.217889,128
3.319095,129
3.319119,130
3.319123,131
3.319125,132
3.418778,133
3.419181,134
3.419192,135
3.419967,136
3.519296,137
3.519305,138
3.519653,139
3.520203,140
3.619448,141
3.620318,142
3.620329,143
3.620699,144
3.719617,145
3.720574,146
3.720718,147
3.721029,148
3.820024,149
3.820997,150
3.821001,151
3.821459,152
3.920654,153
3.921674,154
3.921869,155
3.921876,156
4.021046,157
4.021964,158
4.022547,159
4.022563,160
4.121387,161
4.122693,162
4.122698,163
4.123027,164
4.222080,165
4.223171,166
4.223176,167
4.223517,168
4.322672,169
4.323194,170
4.323655,171
4.323734,172
4.423475,173
4.423481,174
4.423957,175
4.423959,176
4.523915,177
4.523922,178
4.524325,179
4.524327,180
4.624270,181
4.624277,182
4.624743,183
4.624747,184
4.724630,185
4.724635,186
4.725089,187
4.725096,188
4.824826,189
4.825299,190
4.825307,191
4.825310,192
4.925471,193
4.925981,194
4.925990,195
4.925993,196
5.025994,197
5.026001,198
5.027011,199
5.027018,200
5.126390,201
5.126405,202
5.127499,203
5.127501,204
5.226609,205
5.227009,206
5.228102,207
5.228106,208
5.326952,209
5.327294,210
5.328567,211
5.328575,212
5.427230,213
5.427986,214
5.428971,215
5.428975,216
5.527675,217
5.528121,218
5.529276,219
5.529280,220
5.628271,221
5.628843,222
5.629941,223
5.629953,224
5.729085,225
5.729470,226
5.730586,227
5.730598,228
5.829277,229
5.829789,230
5.830835,231
5.831314,232
5.930436,233
5.930459,234
5.932196,235
5.932212,236
6.030706,237
6.030715,238
6.032970,239
6.032983,240
6.131062,241
6.131070,242
6.133163,243
6.134015,244
6.231694,245
6.231704,246
6.233338,247
6.234332,248
6.332354,249
6.332367,250
6.334419,251
6.334934,252
6.432449,253
6.432816,254
6.435086,255
6.435877,256
6.533055,257
6.533492,258
6.535552,259
6.536551,260
6.634042,261
6.634412,262
6.636217,263
6.637385,264
6.734853,265
6.735170,266
6.736846,267
6.737943,268
6.835328,269
6.835857,270
6.837672,271
6.838854,272
6.936101,273
6.936492,274
6.938369,275
6.939677,276
7.036741,277
7.037190,278
7.039002,279
7.040817,280
7.137834,281
7.137850,282
7.140110,283
7.141353,284
7.238404,285
7.238413,286
7.240413,287
7.241658,288
7.339449,289
7.339463,290
7.341419,291
7.342700,292
7.439566,293
7.440194,294
7.441839,295
7.443696,296
7.540623,297
7.540993,298
7.542420,299
7.544002,300
